menu,price,genre,name,adress,tel,lat,lng,url
アサヒスーパードライ 生,350,焼肉・ホルモン,ホルモン焼おかだ,大阪府大阪市北区梅田１-2-2号　大坂駅前第2ビルB2F,06-6454-1118,34.6989342,135.4979539,https://www.hotpepper.jp/strJ001146814/
アサヒスーパードライ 生,580,中華,中華バイキング　遥華　北新地店,大阪府大阪市北区堂島浜１-3-22堂島タウンビル3Ｆ,050-5816-6805,34.6957355,135.4975197,https://www.hotpepper.jp/strJ000712179/
アサヒスーパードライ 生,450,居酒屋,食堂酒場ラ クレール,大阪府大阪市北区堂島２-1-24堂島アーバンライフB1,06-6348-1245,34.6961477,135.4942244,https://www.hotpepper.jp/strJ000448952/
アサヒスーパードライ 生グラス,400,居酒屋,わらやき屋 大阪北新地,大阪府大阪市北区曽根崎新地１－３－２３FOOFEARビル１F,050-5283-8626,34.6977231,135.496139,https://www.hotpepper.jp/strJ001153355/
アサヒスーパードライ 生ジョッキ,650,居酒屋,わらやき屋 大阪北新地,大阪府大阪市北区曽根崎新地１－３－２３FOOFEARビル１F,050-5283-8626,34.6977231,135.496139,https://www.hotpepper.jp/strJ001153355/
アサヒスーパードライ 生ビール,580,居酒屋,炭火串焼バル　串ＢＡＫＵ（くしばく）,大阪府大阪市北区曽根崎新地１丁目４－２４　高田屋ビル２　Ｂ１Ｆ,06-6346-7676,34.6980885,135.4968201,https://www.hotpepper.jp/strJ001137175/
アサヒスーパードライ 生ビール,650,居酒屋,酒菜料理　愛志蔵 （アジクラ）,大阪府大阪市北区堂島１-1-20,06-6343-1047,34.6963741,135.5000788,https://www.hotpepper.jp/strJ000448465/
アサヒスーパードライ 生ビール,380,居酒屋,居酒屋　わいわい　曽根崎店,大阪府大阪市北区曽根崎１-3-15,06-6311-1782,34.6983139,135.5023894,https://www.hotpepper.jp/strJ001037108/
アサヒスーパードライ 生ビール,420,アジア・エスニック料理,アジアン居酒屋　Nari屋　（ナリヤ）,大阪府大阪市北区兎我野町10-6　平田第二レジャービル１F,06-6361-6566,34.7007663,135.5032088,https://www.hotpepper.jp/strJ001041652/
アサヒスーパードライ 生中,490,創作料理,串かつ料理　活　阪急三番街店,大阪府大阪市北区芝田１-1-3 阪急三番街南館B2F,06-6372-8714,34.7042385,135.4984654,https://www.hotpepper.jp/strJ000014516/
アサヒスーパードライ 生中,603,居酒屋,ニューワクラ　LINKSUMEDA店,大阪府大阪市北区大深町1-1　LINKD UMEDA　8F,06-6376-0088,34.7046023,135.4962013,https://www.hotpepper.jp/strJ001245959/
アサヒスーパードライ 生中  18時まで,218,洋食,グリル異人館,大阪府大阪市北区梅田１-1-3 大阪駅前第三ビル　B1F　100号,06-6455-5033,34.6988257,135.4992804,https://www.hotpepper.jp/strJ001129229/
アサヒスーパードライ 赤星 (中瓶),660,創作料理,翠酔,大阪府大阪市北区堂山町7-18　第一名門ビル2F,050-5499-4721,34.7036634,135.5023904,https://www.hotpepper.jp/strJ003411279/
アサヒスーパードライ(グラス),396,焼肉・ホルモン,炭火焼肉×食べ放題 段サ上レバモツ喰ライ 梅田東通り店,大阪府大阪市北区小松原町4-5,050-5449-0346,34.7026707,135.5010691,https://www.hotpepper.jp/strJ001227207/
アサヒスーパードライ(グラス),308,和食,博多鶏ソバ　華味鳥　阪急うめだ本店,大阪府大阪市北区角田町8-7　阪急うめだ本店12F,050-5346-8998,34.7028186,135.4985323,https://www.hotpepper.jp/strJ001195123/
アサヒスーパードライ(グラス小),400,韓国料理,純韓国料理　チャンチ　ヨドバシ梅田店,大阪府大阪市北区大深町１－１－１　ヨドバシ梅田８Ｆ,06-6110-5750,34.7045946,135.4961989,https://www.hotpepper.jp/strJ001010981/
アサヒスーパードライ(ジョッキ),418,居酒屋・創作料理,串カツ 天満 七福神 大阪駅前第3ビル店,大阪府大阪市北区梅田１-1-3 大阪駅前第3ビル B2F,050-5499-3345,34.6988257,135.4992804,https://www.hotpepper.jp/strJ003388350/
アサヒスーパードライ(ジョッキ中),500,韓国料理,純韓国料理　チャンチ　ヨドバシ梅田店,大阪府大阪市北区大深町１－１－１　ヨドバシ梅田８Ｆ,06-6110-5750,34.7045946,135.4961989,https://www.hotpepper.jp/strJ001010981/
アサヒスーパードライ(中),550,居酒屋,居酒屋うろ,大阪府大阪市北区中津１-17-12  メロディーハイム中津5番館1F,050-5834-6619,34.7122316,135.4970226,https://www.hotpepper.jp/strJ000772495/
アサヒスーパードライ(中びん),715,居酒屋・和食,焼き鳥　備長炭と宮崎地鶏専門　TORA鶏YA　梅田店,大阪府大阪市北区曽根崎２丁目5-23,050-5452-5623,34.6994563,135.5012479,https://www.hotpepper.jp/strJ001258362/
アサヒスーパードライ(中ビン),605,韓国料理・居酒屋,肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,050-5352-1755,34.7023048,135.5022582,https://www.hotpepper.jp/strJ001209189/
アサヒスーパードライ(中ビン),715,居酒屋・和食,個室 海鮮居酒屋 魚頂天酒場 まつり 梅田店,大阪府大阪市北区角田町5-1楽天地ビルB1F,050-5834-3547,34.7038579,135.5006159,https://www.hotpepper.jp/strJ001161135/
アサヒスーパードライ(中瓶),580,居酒屋,ふぐや さでん,大阪府大阪市北区黒崎町９‐５,06-6375-7355,34.7074679,135.5077352,https://www.hotpepper.jp/strJ000720445/
アサヒスーパードライ(中瓶),680,焼肉・ホルモン,にくやき　もじもじ,大阪府大阪市北区曽根崎新地１-1-9　第3松木ビル2F,06-6344-3585,34.6978481,135.498431,https://www.hotpepper.jp/strJ000704969/
アサヒスーパードライ(中瓶),638,和食,大和肉鶏　炭火焼き鳥　鳥々々　梅田お初天神店,大阪府大阪市北区曽根崎２－１１－２１,050-5265-8529,34.7005461,135.5003971,https://www.hotpepper.jp/strJ000765330/
アサヒスーパードライ(中瓶),1100,イタリアン・フレンチ,ホテルグランヴィア大阪　フレンチレストラン　フルーヴ,大阪府大阪市北区梅田３-1-1 ホテルグランヴィア大阪19F,06-6347-1437,34.701726,135.4963754,https://www.hotpepper.jp/strJ000014040/
アサヒスーパードライ(中瓶),627,居酒屋,割鮮 吉在門　東通り店,大阪府大阪市北区小松原町1-16 モコビルB1F,050-5356-4782,34.7025203,135.5010177,https://www.hotpepper.jp/strJ000014256/
アサヒスーパードライ(中瓶),528,居酒屋,激安大衆居酒屋 乾杯屋 梅田お初天神店,大阪府大阪市北区曽根崎２-7-14,050-5861-2628,34.6997408,135.5004891,https://www.hotpepper.jp/strJ002648437/
アサヒスーパードライ(中瓶),420,居酒屋,旬鮮市場 Gyoぎょ魚,大阪府大阪市北区角田町９‐２６ 新梅田食道街２Ｆ,06-6363-8329,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000740962/
アサヒスーパードライ(中瓶),605,居酒屋,大衆居酒屋　酒ト肴さしすせそ　梅田お初天神店,大阪府大阪市北区曽根崎２-11-20 春貴曽根崎ビル　1F,050-5280-2812,34.7005997,135.5003918,https://www.hotpepper.jp/strJ001127295/
アサヒスーパードライ(中瓶),450,その他グルメ,チャイニーズ酒家　豪華（フーバー）　駅前第２ビル店,大阪府大阪市北区梅田１-2-2号　大坂駅前第2ビルB1-1,06-6345-2888,34.6989342,135.4979539,https://www.hotpepper.jp/strJ000013040/
アサヒスーパードライ(中瓶),572,お好み焼き・もんじゃ,狸狸亭　北梅田店,大阪府大阪市北区豊崎１－１－６,050-5861-2972,34.7099386,135.5039122,https://www.hotpepper.jp/strJ000680786/
アサヒスーパードライ(中瓶),500,和食,おていちゃん,大阪府大阪市北区角田町９‐２６　新梅田食道街１Ｆ,06-6311-6164,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000848743/
アサヒスーパードライ(中瓶),720,ダイニングバー・バル,レストラン＆バー ENT,大阪府大阪市北区曽根崎１-2-7,06-6360-2200,34.6983989,135.5028546,https://www.hotpepper.jp/strJ001277338/
アサヒスーパードライ(中瓶),715,居酒屋,和食　たちばな　グランフロント大阪,大阪府大阪市北区大深町4-20　グランフロント大阪南館7階,050-5285-7067,34.7053491,135.4945979,https://www.hotpepper.jp/strJ001106433/
アサヒスーパードライ(中瓶),550,居酒屋・和食,肉寿司　大衆肉酒場　肉汁　梅田お初天神店,大阪府大阪市北区曽根崎２-１４-１３ 曽根崎河合ビル,050-5286-0334,34.7009106,135.500539,https://www.hotpepper.jp/strJ001168896/
アサヒスーパードライ(中瓶),528,居酒屋,激安大衆居酒屋 乾杯屋 梅田芝田店,大阪府大阪市北区芝田１-3-15,050-5347-8091,34.7059131,135.4975197,https://www.hotpepper.jp/strJ001200359/
アサヒスーパードライ(中瓶),528,焼肉・ホルモン,黒毛和牛とタンとハラミ 焼肉ごりちゃん,大阪府大阪市北区堂山町8-21 石本ビル B1F,050-5452-3219,34.703704,135.5033291,https://www.hotpepper.jp/strJ001258214/
アサヒスーパードライ(中瓶)/キリン一番搾り(中瓶)/赤星(中瓶),660,居酒屋・和食,海鮮酒場　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,050-5861-6095,34.702542,135.5021224,https://www.hotpepper.jp/strJ001292956/
アサヒスーパードライ(中瓶)/キリン一番搾り(中瓶)/赤星(中瓶),660,居酒屋・和食,高級寿司66種以上食べ放題×厳選日本酒50種以上飲み放題　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,050-5861-7108,34.702542,135.5021224,https://www.hotpepper.jp/strJ003298352/
アサヒスーパードライ(大瓶),490,ラーメン,ラーメン食堂＆酒場　西松家,大阪府大阪市北区兎我野町10 -20,050-5816-7402,34.7007683,135.5037795,https://www.hotpepper.jp/strJ001178400/
アサヒスーパードライ(小),500,居酒屋,居酒屋うろ,大阪府大阪市北区中津１-17-12  メロディーハイム中津5番館1F,050-5834-6619,34.7122316,135.4970226,https://www.hotpepper.jp/strJ000772495/
アサヒスーパードライ(小),385,和食,博多鶏ソバ　華味鳥　阪急うめだ本店,大阪府大阪市北区角田町8-7　阪急うめだ本店12F,050-5346-8998,34.7028186,135.4985323,https://www.hotpepper.jp/strJ001195123/
アサヒスーパードライ(小瓶),700,洋食,鉄板ステーキ淀屋,大阪府大阪市北区西天満４-9-15 第一神明ビルディング1F,06-6311-2903,34.6976412,135.5039072,https://www.hotpepper.jp/strJ001202533/
アサヒスーパードライ(小瓶),990,焼肉・ホルモン,北新地 名門,大阪府大阪市北区曽根崎新地１-4-25 新地MDビル 2F・3F,050-5831-5780,34.6978827,135.4965992,https://www.hotpepper.jp/strJ001224931/
アサヒスーパードライ(小瓶),682,和食,焼き鳥 炭焼地鶏 近江 梅田東通り店,大阪府大阪市北区堂山町5-19　ふるさとビル 1F・2F,050-5258-6144,34.7029052,135.5026288,https://www.hotpepper.jp/strJ001245853/
アサヒスーパードライ(樽生:中),605,居酒屋,割鮮 吉在門　東通り店,大阪府大阪市北区小松原町1-16 モコビルB1F,050-5356-4782,34.7025203,135.5010177,https://www.hotpepper.jp/strJ000014256/
アサヒスーパードライ(樽生:小),462,居酒屋,割鮮 吉在門　東通り店,大阪府大阪市北区小松原町1-16 モコビルB1F,050-5356-4782,34.7025203,135.5010177,https://www.hotpepper.jp/strJ000014256/
アサヒスーパードライ(瓶),500,イタリアン・フレンチ・ダイニングバー・バル,イタリアンキッチン　Sa　サー,大阪府大阪市北区梅田１－1－3　大阪駅前第３ビルB2-38,050-5815-6853,34.6987788,135.499416,https://www.hotpepper.jp/strJ000012973/
アサヒスーパードライ(瓶).,605,韓国料理・焼肉・ホルモン,韓国料理×食べ放題 サムギョプサルとフライドチキン スリスリマスリ 梅田店,大阪府大阪市北区曽根崎２-10-19　第一河合ビル4Ｆ,050-5815-8463,34.7007326,135.5009073,https://www.hotpepper.jp/strJ001274696/
アサヒスーパードライ(瓶)/麒麟一番搾り(瓶)/サッポロラガー赤星(瓶),605,居酒屋・和食,個室 炭火と日本酒 吟助 梅田店,大阪府大阪市北区茶屋町14－8　2F,050-5355-5429,34.7074784,135.4986735,https://www.hotpepper.jp/strJ001217325/
アサヒスーパードライ(瓶ビール 中),550,居酒屋,酒場　鳥すけ,大阪府大阪市北区梅田１-1-3大阪駅前第3ビルB1F-15,050-5834-7958,34.6988257,135.4992804,https://www.hotpepper.jp/strJ001285467/
アサヒスーパードライ(瓶ビール),580,韓国料理,純韓国料理　チャンチ　ヨドバシ梅田店,大阪府大阪市北区大深町１－１－１　ヨドバシ梅田８Ｆ,06-6110-5750,34.7045946,135.4961989,https://www.hotpepper.jp/strJ001010981/
アサヒスーパードライ(生),638,居酒屋・ダイニングバー・バル,浪花ろばた 頂鯛 梅田北新地店,大阪府大阪市北区曽根崎新地１-6-21 栄和ビル1F,06-6147-4377,34.6976865,135.4985139,https://www.hotpepper.jp/strJ001106301/
アサヒスーパードライ(生),530,居酒屋,ふぐや さでん,大阪府大阪市北区黒崎町９‐５,06-6375-7355,34.7074679,135.5077352,https://www.hotpepper.jp/strJ000720445/
アサヒスーパードライ(生),1000,イタリアン・フレンチ,ホテルグランヴィア大阪　フレンチレストラン　フルーヴ,大阪府大阪市北区梅田３-1-1 ホテルグランヴィア大阪19F,06-6347-1437,34.701726,135.4963754,https://www.hotpepper.jp/strJ000014040/
アサヒスーパードライ(生),462,居酒屋,《24時間営業》大衆居酒屋　酒ト肴さしすせそ　梅田東通り店,大阪府大阪市北区堂山町5-4,050-5815-5303,34.702836,135.5022329,https://www.hotpepper.jp/strJ001270281/
アサヒスーパードライ(生),540,居酒屋,季節料理　四季,大阪府大阪市北区角田町9-17　新梅田食道街2F,06-6312-3361,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000746744/
アサヒスーパードライ(生),429,居酒屋,大衆居酒屋　酒ト肴さしすせそ　梅田お初天神店,大阪府大阪市北区曽根崎２-11-20 春貴曽根崎ビル　1F,050-5280-2812,34.7005997,135.5003918,https://www.hotpepper.jp/strJ001127295/
アサヒスーパードライ(生),680,イタリアン・フレンチ,TRATTORIA AL POMPIERE（アルポンピエーレ）,大阪府大阪市北区角田町8-7　阪急うめだ本店13F,050-3201-3869,34.7028186,135.4985323,https://www.hotpepper.jp/strJ001038773/
アサヒスーパードライ(生),660,和食,鮨　たね弥,大阪府大阪市北区西天満４-10-23 BRILLIANT西天満1F,050-5861-2831,34.6968089,135.5037059,https://www.hotpepper.jp/strJ002647546/
アサヒスーパードライ(生),548,居酒屋・中華,中華ダイニング　食べ放題　けむり屋＆FLOWER　お初天神店,大阪府大阪市北区曽根崎２-2-3アポロ2号館1F,050-5499-3380,34.6988712,135.5015241,https://www.hotpepper.jp/strJ003389414/
アサヒスーパードライ(生) ちょっと,330,和食,鮨　たね弥,大阪府大阪市北区西天満４-10-23 BRILLIANT西天満1F,050-5861-2831,34.6968089,135.5037059,https://www.hotpepper.jp/strJ002647546/
アサヒスーパードライ(生)Rサイズ,600,ダイニングバー・バル・イタリアン・フレンチ,BARBARA market place GRAND ROYAL 2429 中崎本店,大阪府大阪市北区中崎西２－４－２９,050-3627-9699,34.7067654,135.5015133,https://www.hotpepper.jp/strJ000650311/
アサヒスーパードライ(生ビール 中),420,居酒屋,酒場　鳥すけ,大阪府大阪市北区梅田１-1-3大阪駅前第3ビルB1F-15,050-5834-7958,34.6988257,135.4992804,https://www.hotpepper.jp/strJ001285467/
アサヒスーパードライ(生中),165,居酒屋,激安大衆居酒屋　八銭　梅田東通り店,大阪府大阪市北区小松原町5-14,06-6367-0388,34.7035818,135.5014172,https://www.hotpepper.jp/strJ003366657/
アサヒスーパードライ(生中),380,その他グルメ,チャイニーズ酒家　豪華（フーバー）　駅前第２ビル店,大阪府大阪市北区梅田１-2-2号　大坂駅前第2ビルB1-1,06-6345-2888,34.6989342,135.4979539,https://www.hotpepper.jp/strJ000013040/
アサヒスーパードライ(生小),340,その他グルメ,チャイニーズ酒家　豪華（フーバー）　駅前第２ビル店,大阪府大阪市北区梅田１-2-2号　大坂駅前第2ビルB1-1,06-6345-2888,34.6989342,135.4979539,https://www.hotpepper.jp/strJ000013040/
アサヒスーパードライ(缶),500,カラオケ・パーティ,カラオケスタジオ ブギ 梅田店,大阪府大阪市北区小松原町4-12　大東洋梅田店2Ｆ,06-6312-4495,34.7029015,135.5007903,https://www.hotpepper.jp/strJ000013603/
アサヒスーパードライ/アサヒ黒生,483,和食,新喜楽　ヒルトンプラザイースト店,大阪府大阪市北区梅田１‐８‐１６ヒルトンプラザイーストＢ２Ｆ,06-6345-3461,34.7003852,135.4962447,https://www.hotpepper.jp/strJ000109487/
アサヒスーパードライ/キリンクラシック,630,焼肉・ホルモン,明華園,大阪府大阪市北区堂島１‐４‐２０　第２ロイヤルビル　４Ｆ,06-6341-1221,34.6962337,135.4975565,https://www.hotpepper.jp/strJ000448311/
アサヒスーパードライ/生中,528,居酒屋,うたげどころ うぉっしゅ,大阪府大阪市北区曽根崎新地２丁目３-１３ 若杉大阪駅前ビル B1F,050-5366-4848,34.697794,135.4938986,https://www.hotpepper.jp/strJ001223510/
アサヒスーパードライ<中ジョッキ>,500,和食,割烹 木暮,大阪府大阪市北区堂山町8-16,06-6361-5707,34.7035407,135.5028589,https://www.hotpepper.jp/strJ000866535/
アサヒスーパードライ<大瓶>,700,和食,割烹 木暮,大阪府大阪市北区堂山町8-16,06-6361-5707,34.7035407,135.5028589,https://www.hotpepper.jp/strJ000866535/
アサヒスーパードライ<小ジョッキ>,300,和食,割烹 木暮,大阪府大阪市北区堂山町8-16,06-6361-5707,34.7035407,135.5028589,https://www.hotpepper.jp/strJ000866535/
アサヒスーパードライ<生中>,600,居酒屋,かき鐵,大阪府大阪市北区曽根崎２丁目10番10号　第２あーけるびる２階,050-5366-8559,34.7004912,135.50076,https://www.hotpepper.jp/strJ001158005/
アサヒスーパードライ<生小>,450,居酒屋,かき鐵,大阪府大阪市北区曽根崎２丁目10番10号　第２あーけるびる２階,050-5366-8559,34.7004912,135.50076,https://www.hotpepper.jp/strJ001158005/
アサヒスーパードライ[生],550,居酒屋,沖縄料理　しーさ　茶屋町店,大阪府大阪市北区茶屋町19-19アプローズタワーB1F,050-5349-3450,34.7083901,135.4984691,https://www.hotpepper.jp/strJ001110716/
アサヒスーパードライ【中瓶】,713,焼肉・ホルモン・居酒屋,精肉卸問屋直営 焼肉ホルモン 肉匠牛次郎 お初天神店,大阪府大阪市北区曽根崎２－５－２２ 日宝パティオ曽根崎１階,050-5452-5238,34.6994706,135.5011466,https://www.hotpepper.jp/strJ001258233/
アサヒスーパードライ【小瓶】,480,洋食,カフェレストランFarD(ファーディ)　HEPファイブ店,大阪府大阪市北区角田町５－１５　HEP　FIVE7Ｆ,06-6366-3686,34.7040644,135.5004346,https://www.hotpepper.jp/strJ000013426/
アサヒスーパードライグラス,390,韓国料理,北新地　冷麺館,大阪府大阪市北区曽根崎新地１丁目５－４岩伸スプレットビル２Ｆ,050-5861-6689,34.6977334,135.4974829,https://www.hotpepper.jp/strJ001135085/
アサヒスーパードライ中瓶,715,居酒屋・ダイニングバー・バル,大衆スタンドヒロ　梅田店,大阪府大阪市北区堂山町１０－７　ステージジュエルビル１０５,050-5265-6774,34.7032989,135.5042215,https://www.hotpepper.jp/strJ001264769/
アサヒスーパードライ中瓶,550,和食,北新地　鶏屋　さん羽,大阪府大阪市北区曽根崎新地１－７－２５　セレーネ北新地ビル２Ｆ,06-6147-8138,34.6970044,135.4989189,https://www.hotpepper.jp/strJ001127725/
アサヒスーパードライ中瓶,583,居酒屋,串かつ料理　活　阪急グランドビル店,大阪府大阪市北区角田町8-47 阪急グランドビル28F,050-5280-9605,34.7029862,135.4990478,https://www.hotpepper.jp/strJ000014514/
アサヒスーパードライ中瓶,583,和食,串かつ料理　活　ホワイティうめだ店,大阪府大阪市北区角田町梅田地下街２－５　ホワイティうめだノースモール1,050-5281-0937,34.7031238,135.499504,https://www.hotpepper.jp/strJ000014513/
アサヒスーパードライ中瓶,605,居酒屋,食べ飲み放題の店 生醤油うどんとお酒 醤屋万吉 ハービスプラザ店,大阪府大阪市北区梅田２-5-25　ハービスプラザ B2F,050-5499-6562,34.6984253,135.4926758,https://www.hotpepper.jp/strJ003410996/
アサヒスーパードライ樽生,638,ダイニングバー・バル,RUBBER SOUL（ラバーソウル）,大阪府大阪市北区堂島１-4-26玉家ビルB1F,06-6743-4565,34.6961633,135.498072,https://www.hotpepper.jp/strJ001248849/
アサヒスーパードライ樽生(中),572,お好み焼き・もんじゃ,狸狸亭　北梅田店,大阪府大阪市北区豊崎１－１－６,050-5861-2972,34.7099386,135.5039122,https://www.hotpepper.jp/strJ000680786/
アサヒスーパードライ樽生(中ジョッキ),500,お好み焼き・もんじゃ,雅もん,大阪府大阪市北区西天満６-3-11,06-6363-7020,34.6991292,135.5056533,https://www.hotpepper.jp/strJ000678731/
アサヒスーパードライ樽生(小),462,お好み焼き・もんじゃ,狸狸亭　北梅田店,大阪府大阪市北区豊崎１－１－６,050-5861-2972,34.7099386,135.5039122,https://www.hotpepper.jp/strJ000680786/
アサヒスーパードライ瓶,530,韓国料理,北新地　冷麺館,大阪府大阪市北区曽根崎新地１丁目５－４岩伸スプレットビル２Ｆ,050-5861-6689,34.6977334,135.4974829,https://www.hotpepper.jp/strJ001135085/
アサヒスーパードライ生,638,居酒屋・ダイニングバー・バル,肉バルGAM 梅田お初天神店,大阪府大阪市北区曽根崎２-５-２５　ワンエンドワン曽根崎ビル2F,050-5349-0715,34.6994958,135.5015237,https://www.hotpepper.jp/strJ001202232/
アサヒスーパードライ生,550,和食,とりぶん　阪急グランドビル店,大阪府大阪市北区角田町８－４７　阪急グランドビル28F,06-6365-5444,34.7029862,135.4990478,https://www.hotpepper.jp/strJ000020583/
アサヒスーパードライ生,308,居酒屋,餃子と手羽先　まじめや　大阪駅前第二ビル店,大阪府大阪市北区梅田１－２－２　大阪駅前第２ビル　B1,050-5452-6053,34.6989342,135.4979539,https://www.hotpepper.jp/strJ001258862/
アサヒスーパードライ生,660,ダイニングバー・バル,阪急うめだ本店　美味旬菜,大阪府大阪市北区角田町8-7　阪急うめだ本店12F,050-5877-1665,34.7028186,135.4985323,https://www.hotpepper.jp/strJ001041245/
アサヒスーパードライ生,500,ダイニングバー・バル,bar・ya Riblin （バル・ヤ　リブリン）　グランフロント大阪,大阪府大阪市北区大深町３-１　グランフロント大阪北館６F,06-6485-7580,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001026039/
アサヒスーパードライ生 小,220,居酒屋,餃子と手羽先　まじめや　大阪駅前第二ビル店,大阪府大阪市北区梅田１－２－２　大阪駅前第２ビル　B1,050-5452-6053,34.6989342,135.4979539,https://www.hotpepper.jp/strJ001258862/
アサヒスーパードライ生ビール,600,バー・カクテル,Food&Darts L-cube,大阪府大阪市北区豊崎５－1－16,06-6940-6335,34.7115142,135.4999532,https://www.hotpepper.jp/strJ001127866/
アサヒスーパードライ生ビール (中),693,お好み焼き・もんじゃ,桃太郎　ルクア大阪店,大阪府大阪市北区梅田３‐1‐3ルクア10F,050-5348-8207,34.7029403,135.4955499,https://www.hotpepper.jp/strJ001068661/
アサヒスーパードライ生ビール (中ジョッキ),550,焼肉・ホルモン,牛たん炭焼　利久　エキマルシェ大阪店,大阪府大阪市北区梅田３-1-1 エキマルシェ大阪 1F,050-5453-5855,34.7019365,135.4950795,https://www.hotpepper.jp/strJ001039182/
アサヒスーパードライ生中,550,韓国料理,北新地　冷麺館,大阪府大阪市北区曽根崎新地１丁目５－４岩伸スプレットビル２Ｆ,050-5861-6689,34.6977334,135.4974829,https://www.hotpepper.jp/strJ001135085/
アサヒデカ生,748,和食,炭焼きBAR 心 ～COCORO～ 梅田本店,大阪府大阪市北区堂山町８－１６,050-5265-9559,34.7035407,135.5028589,https://www.hotpepper.jp/strJ001124898/
アサヒノンアル,418,居酒屋,世界の山ちゃん 梅田東通り店,大阪府大阪市北区堂山町1-14　こだまレジャービル1F,06-6365-8878,34.7028402,135.5040926,https://www.hotpepper.jp/strJ001034341/
アサヒハーフ&ハーフ,380,居酒屋,たこ焼酒場　しん家,大阪府大阪市北区梅田１丁目１１－４大阪駅前第４ビルＢ１-50,050-5281-4023,34.6998973,135.4988268,https://www.hotpepper.jp/strJ001117854/
アサヒビール,600,バー・カクテル,Fire bomBAR,大阪府大阪市北区曽根崎１-7-13レイソル曽根崎603,080-2526-9093,34.6994871,135.5026932,https://www.hotpepper.jp/strJ001145774/
アサヒビール,600,ダイニングバー・バル,Bar Borracho 中崎町店,大阪府大阪市北区中崎西３-2-17,050-5499-2607,34.7082086,135.5024723,https://www.hotpepper.jp/strJ003389283/
アサヒビール,693,和食,かに道楽　梅田店,大阪府大阪市北区曽根崎２－１５－２０　スイングうめだ8階,050-5453-4725,34.7017667,135.500852,https://www.hotpepper.jp/strJ000020665/
アサヒビール,500,アジア・エスニック料理,みうらや　タイ食堂,大阪府大阪市北区角田町9-25,06-6315-9441,34.7038518,135.4978041,https://www.hotpepper.jp/strJ000745153/
アサヒビール,638,洋食,チーズと生はちみつ　ベーネ　梅田　NU茶屋町,大阪府大阪市北区茶屋町10-12　NU茶屋町9F,06-6225-7658,34.7069626,135.4990769,https://www.hotpepper.jp/strJ001000931/
アサヒビール (中ビン),470,ラーメン,らーめん古潭　かっぱ横丁店,大阪府大阪市北区芝田１－７－２　阪急かっぱ横丁,06-6373-0718,34.7071744,135.4980634,https://www.hotpepper.jp/strJ000018380/
アサヒビール (小),800,バー・カクテル,感彩人,大阪府大阪市北区曽根崎新地１-3-3好陽ビル1Ｆ,06-6344-5548,34.6973226,135.4969674,https://www.hotpepper.jp/strJ000017159/
アサヒビール(中瓶),580,韓国料理・焼肉・ホルモン,韓国料理　三年間　byコッテジ,大阪府大阪市北区茶屋町4-6竹村ビル1階,050-5451-6089,34.706324,135.4993409,https://www.hotpepper.jp/strJ001250564/
アサヒビールドライ 瓶ビール(大),480,居酒屋,居酒屋　わいわい　曽根崎店,大阪府大阪市北区曽根崎１-3-15,06-6311-1782,34.6983139,135.5023894,https://www.hotpepper.jp/strJ001037108/
アサヒプレミアム 中瓶,550,和食,炭焼きBAR 心 ～COCORO～ 梅田本店,大阪府大阪市北区堂山町８－１６,050-5265-9559,34.7035407,135.5028589,https://www.hotpepper.jp/strJ001124898/
アサヒプレミアムビール 熟撰(中瓶),660,居酒屋,割鮮 吉在門　東通り店,大阪府大阪市北区小松原町1-16 モコビルB1F,050-5356-4782,34.7025203,135.5010177,https://www.hotpepper.jp/strJ000014256/
アサヒプレミアム熟撰 小瓶,680,和食,北陸越前　はれや別邸,大阪府大阪市北区曽根崎新地１-5-21　松木興産ビル5F,06-6341-8089,34.6979791,135.497262,https://www.hotpepper.jp/strJ001169661/
アサヒプレミアム生ビール 熟撰,584,和食,銀座ハゲ天　大阪ステーションシティ店,大阪府大阪市北区梅田３-1-1　サウスゲートビル16Ｆ,06-6345-1006,34.7018732,135.4965663,https://www.hotpepper.jp/strJ000448667/
アサヒプレミアム生ビール(熟撰),565,創作料理,八幡浜 はなれ,大阪府大阪市北区曽根崎新地１-3-3 好陽ビルB1,06-6345-7017,34.6973226,135.4969674,https://www.hotpepper.jp/strJ000507690/
アサヒ・スーパードライ  (中瓶),880,和食,乾山　大阪北新地店,大阪府大阪市北区曽根崎新地１-6-32 司ビル１階,050-5572-9757,34.6982594,135.4988228,https://www.hotpepper.jp/strJ000448619/
アサヒ・スーパードライ/キリンラガー サッポロ黒ラベル 500ml,682,居酒屋,炭火焼鳥　権兵衛　茶屋町店,大阪府大阪市北区茶屋町１５－８　４Ｆ,050-5816-7770,34.7076229,135.4990846,https://www.hotpepper.jp/strJ000014074/
アサヒ中瓶,528,居酒屋,激安大衆居酒屋　八銭　梅田東通り店,大阪府大阪市北区小松原町5-14,06-6367-0388,34.7035818,135.5014172,https://www.hotpepper.jp/strJ003366657/
